cbp750 Crystle Purifoy c.purifoy@utexas.edu
mis918 Marquita See m.see@utexas.edu
bmb865 Bok Bobbitt b.bobbitt@utexas.edu
dch273 Danny Halverson d.halverson@utexas.edu
etf890 Elvia Fortin e.fortin@utexas.edu
nve360 Nakisha Ehrmann n.ehrmann@utexas.edu
bqt298 Brady Trudell b.trudell@utexas.edu
mgf451 Milford Friley m.friley@utexas.edu
jrj209 Joyce Justin j.justin@utexas.edu
dts337 Danielle Stiltner d.stiltner@utexas.edu
ayb632 Annalisa Bagg a.bagg@utexas.edu
gqd737 Granville Dildy g.dildy@utexas.edu
fwl917 Fannie Lucky f.lucky@utexas.edu
ibb865 Ilene Bakken i.bakken@utexas.edu
lmw860 Leanora Wey l.wey@utexas.edu
keh125 Kendrick Hemmingway k.hemmingway@utexas.edu
zys820 Zonia Staub z.staub@utexas.edu
hol390 Heriberto Lathem h.lathem@utexas.edu
dqr859 Delena Robichaud d.robichaud@utexas.edu
tab341 Talitha Biggins t.biggins@utexas.edu
cjs776 Caitlin Steinberger c.steinberger@utexas.edu
ais234 Asha Stembridge a.stembridge@utexas.edu
lgk122 Ludie Kessler l.kessler@utexas.edu
mjt503 Marna Tsan m.tsan@utexas.edu
pwf998 Peggie Freshwater p.freshwater@utexas.edu
dol598 Debra Lacaze d.lacaze@utexas.edu
hsm594 Hazel Mckissick h.mckissick@utexas.edu
gty376 Grant Yardley g.yardley@utexas.edu
civ284 Candra Villar c.villar@utexas.edu
gcj999 Gearldine Jacquemin g.jacquemin@utexas.edu
dkb954 Dolly Bormann d.bormann@utexas.edu
eqd772 Eva Dobles e.dobles@utexas.edu
jvw732 Juliet Wire j.wire@utexas.edu
coe324 Carleen Eady c.eady@utexas.edu
lkp336 Lynne Paz l.paz@utexas.edu
tlb304 Tamekia Barefoot t.barefoot@utexas.edu
mrn153 Maida Nagy m.nagy@utexas.edu
syt993 Sadie Tassone s.tassone@utexas.edu
jwa572 Jene Atterbury j.atterbury@utexas.edu
lck444 Lewis Koll l.koll@utexas.edu
njh415 Noel Heppner n.heppner@utexas.edu
cjr173 Charlotte Rotondo c.rotondo@utexas.edu
moc237 Marshall Casper m.casper@utexas.edu
cph769 Caron Hawkin c.hawkin@utexas.edu
kbh737 Kala Hohl k.hohl@utexas.edu
etw625 Ernestina Wrinkle e.wrinkle@utexas.edu
mjh407 Mellie Hipple m.hipple@utexas.edu
jxs165 Jerrold Sobers j.sobers@utexas.edu
chr849 Carylon Rew c.rew@utexas.edu
jqo620 Jeanelle Olin j.olin@utexas.edu
